 time            l0              l1              l2              l3             
 2.05921852e+00  4.75324730e+04  1.33553605e+04  1.33553605e+04  1.51473321e+05 
 2.11921852e+00  1.86209606e+05  2.72991858e+04  2.72991858e+04  6.68586541e+04 
 2.16001524e+00  2.00001214e+05  6.65645125e+04  6.65645125e+04  2.65343112e+04 
 2.19805288e+00  2.00001238e+05  1.30671371e+05  1.30671371e+05  1.86128285e+04 
 2.20277051e+00  2.00000941e+05  1.39830859e+05  1.39830859e+05  1.86128285e+04 
 2.21220578e+00  2.00000644e+05  1.58402053e+05  1.58402053e+05  1.86128285e+04 
 2.23107631e+00  2.00000644e+05  1.96758730e+05  1.96758730e+05  1.86128285e+04 
 2.25939520e+00  2.00000644e+05  2.00001207e+05  2.00001207e+05  1.86128285e+04 
 2.28737132e+00  2.00000644e+05  2.00001511e+05  2.00001511e+05  1.86128285e+04 
 2.32156152e+00  2.00000644e+05  2.00001524e+05  2.00001524e+05  1.86128285e+04 
 2.38156152e+00  2.00000644e+05  2.00001521e+05  2.00001521e+05  1.86128285e+04 
 2.44156152e+00  2.00000644e+05  2.00001493e+05  2.00001493e+05  1.86128285e+04 
 2.50156152e+00  2.00000644e+05  2.00001438e+05  2.00001438e+05  1.86128285e+04 
 2.56156152e+00  1.52416290e+05  2.00001197e+05  2.00001197e+05  1.86128285e+04 
 2.62156152e+00  1.00820075e+04  1.06072340e+05  1.06072340e+05  1.86128285e+04 
 2.65621552e+00  1.99878320e+03  5.94842875e+04  5.94842875e+04  2.65593474e+04 
 2.69008939e+00  1.99850826e+03  2.52443902e+04  2.52443902e+04  7.67508980e+04 
 2.69495332e+00  1.99904426e+03  2.28633740e+04  2.28633740e+04  9.04908022e+04 
 2.70468118e+00  1.99958025e+03  1.91279775e+04  1.91279775e+04  1.20484776e+05 
 2.72413690e+00  1.99958025e+03  1.59131755e+04  1.59131755e+04  1.91224260e+05 
 2.74363094e+00  1.99958025e+03  1.51298564e+04  1.51298564e+04  2.00001221e+05 
 2.76403893e+00  1.99958025e+03  1.46539965e+04  1.46539965e+04  2.00001577e+05 
 2.79036468e+00  1.99958025e+03  1.43617890e+04  1.43617890e+04  2.00001648e+05 
 2.84301617e+00  1.99958025e+03  1.42588595e+04  1.42588595e+04  2.00001681e+05 
 2.90301617e+00  1.99958025e+03  1.42588595e+04  1.42588595e+04  2.00001563e+05 
 2.96301617e+00  1.99958025e+03  1.42588595e+04  1.42588595e+04  2.00001437e+05 
 3.00000000e+00  1.99958025e+03  1.42588595e+04  1.42588595e+04  2.00001292e+05 
