time,current,voltage
1.46451716,-8.1290088e-06,2.21102938
1.46651716,-7.67718148e-06,2.08830445
1.46851716,-7.22443591e-06,1.96524974
1.47051716,-6.77080326e-06,1.8418847
1.47251716,-6.316232e-06,1.71822881
1.47451716,-5.86067388e-06,1.59430158
1.47651716,-5.40419029e-06,1.4701226
1.47851716,-4.94685331e-06,1.34571147
1.48051716,-4.48873517e-06,1.22108783
1.48251716,-4.0299082e-06,1.09627137
1.48451716,-3.57044486e-06,0.9712818
1.48651716,-3.11041771e-06,0.84613885
1.48851716,-2.64989939e-06,0.720862285
1.49051716,-2.18896261e-06,0.595471888
1.49251716,-1.72768018e-06,0.469987458
1.49451716,-1.26612492e-06,0.344428812
1.49651716,-8.04369722e-07,0.218815777
1.49851716,-3.42487507e-07,0.0931681885
1.50051716,1.19448792e-07,-0.0324941125
1.50251716,5.81366228e-07,-0.158151282
1.50451716,1.04319186e-06,-0.283783478
1.50651716,1.50485276e-06,-0.409370861
1.50851716,1.96627603e-06,-0.5348936
1.51051716,2.4273888e-06,-0.660331873
1.51251716,2.88811826e-06,-0.785665872
1.51451716,3.34839165e-06,-0.910875805
1.51651716,3.8081363e-06,-1.0359419
1.51851716,4.26727959e-06,-1.16084441
1.52051716,4.72574903e-06,-1.28556361
1.52251716,5.18347222e-06,-1.4100798
1.52451716,5.64043224e-06,-1.53437332
1.52651716,6.09673803e-06,-1.65842455
1.52851716,6.55243735e-06,-1.78221389
1.53051716,7.00774762e-06,-1.90572181
1.53251716,7.46268923e-06,-2.02892878
1.53451716,7.91756164e-06,-2.15181537
1.53651716,8.3723705e-06,-2.27436216
1.53851716,8.82760887e-06,-2.3965498
1.54051716,9.28321214e-06,-2.51835899
1.54251716,9.73968652e-06,-2.63977051
1.54451716,1.01964376e-05,-2.76076518
1.54651716,1.06539877e-05,-2.88132389
1.54851716,1.11124989e-05,-3.00142761
1.55051716,1.15714508e-05,-3.12105737
1.55251716,1.20322403e-05,-3.24019427
1.55451716,1.24943958e-05,-3.35881952
1.55651716,1.2958048e-05,-3.47691436
1.55851716,1.34233288e-05,-3.59446016
1.56051716,1.3890422e-05,-3.71143835
1.56251716,1.43595029e-05,-3.82783047
1.56451716,1.48306986e-05,-3.94361812
1.56651716,1.53054468e-05,-4.05878304
1.56851716,1.5781459e-05,-4.17330702
1.57051716,1.6258642e-05,-4.28717199
1.57251716,1.67414931e-05,-4.40035997
1.57451716,1.72258645e-05,-4.51285307
1.57651716,1.7713399e-05,-4.62463355
1.57851716,1.82024715e-05,-4.73568374
1.58051716,1.86967948e-05,-4.84598612
1.58251716,1.91948341e-05,-4.95552325
1.58451716,1.96967827e-05,-5.06427785
1.58651716,2.02028381e-05,-5.17223275
1.58851716,2.07132039e-05,-5.27937088
1.59051716,2.12280904e-05,-5.38567535
1.59251716,2.17477151e-05,-5.49112935
1.59451716,2.2272303e-05,-5.59571624
1.59651716,2.28020873e-05,-5.6994195
1.59851716,2.33373099e-05,-5.80222276
1.60051716,2.38782221e-05,-5.90410978
1.60251716,2.44250256e-05,-6.00506447
1.60451716,2.49779559e-05,-6.1050709
1.60651716,2.55373207e-05,-6.20411326
1.60851716,2.610713e-05,-6.30217592
1.61051716,2.66804308e-05,-6.39924339
1.61251716,2.72611123e-05,-6.49530035
1.61451716,2.78495182e-05,-6.59033162
1.61651716,2.84415531e-05,-6.68432221
1.61851716,2.9046297e-05,-6.77725726
1.62051716,2.96598718e-05,-6.86912211
1.62251716,3.02826923e-05,-6.95990224
1.62451716,3.09151921e-05,-7.04958332
1.62651716,3.15578288e-05,-7.13815119
1.62851716,3.2211086e-05,-7.22559187
1.63051716,3.28754756e-05,-7.31189154
1.63251716,3.355154e-05,-7.39703658
1.63451716,3.42398548e-05,-7.48101354
1.63651716,3.49481293e-05,-7.56380916
1.63851716,3.56557263e-05,-7.64541037
1.64051716,3.63846506e-05,-7.72580428
1.64251716,3.71285232e-05,-7.80497819
1.64451716,3.78881406e-05,-7.88291961
1.64651716,3.86643482e-05,-7.95961622
1.64851716,3.94580523e-05,-8.03505592
1.65051716,4.02702213e-05,-8.10922679
1.65251716,4.11018964e-05,-8.18211712
1.65451716,4.196505e-05,-8.2537154
1.65651716,4.28266078e-05,-8.32401032
1.65851716,4.37220037e-05,-8.39299078
1.66051716,4.4641241e-05,-8.4606459
1.66251716,4.55857979e-05,-8.52696497
1.66451716,4.65572708e-05,-8.59193755
1.66651716,4.75573979e-05,-8.65555335
1.66851716,4.85880763e-05,-8.71780234
1.67051716,4.96513809e-05,-8.7786747
1.67251716,5.07495868e-05,-8.83816079
1.67451716,5.19060496e-05,-8.89625124
