time,L(0;0)(1;0),L(0;0)(0;1),L(0;1)(1;1),L(0;1)(0;2),L(0;2)(1;2),L(0;2)(0;3),L(0;3)(1;3),L(1;0)(2;0),L(1;0)(1;1),L(1;1)(2;1),L(1;1)(1;2),L(1;2)(2;2),L(1;2)(1;3),L(1;3)(2;3),L(2;0)(3;0),L(2;0)(2;1),L(2;1)(3;1),L(2;1)(2;2),L(2;2)(3;2),L(2;2)(2;3),L(2;3)(3;3),L(3;0)(3;1),L(3;1)(3;2),L(3;2)(3;3)
0.042529375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199844.751,200000.0,200000.0
0.044529375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199728.903,200000.0,200000.0
0.046529375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199581.335,200000.0,200000.0
0.048529375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199402.262,200000.0,200000.0
0.050529375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,199191.912,200000.0,200000.0
0.052529375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198950.527,200000.0,200000.0
0.054529375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198678.364,200000.0,200000.0
0.056529375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198375.69,200000.0,200000.0
0.056779375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198335.486,200000.0,200000.0
0.057279375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198254.139,200000.0,200000.0
0.057295,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.033,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198251.565,200000.0,200000.0
0.05732625,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198246.415,200000.0,200000.0
0.05738875,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198236.092,200000.0,200000.0
0.05751375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198215.359,200000.0,200000.0
0.05776375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198173.54,200000.0,200000.0
0.05826375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198088.493,200000.0,200000.0
0.05926375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,197912.785,200000.0,200000.0
0.06126375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,197539.041,200000.0,200000.0
0.06326375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,197135.77,200000.0,200000.0
0.06526375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,196703.306,200000.0,200000.0
0.06551375,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,196646.984,200000.0,200000.0
0.06557625,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.067,200000.0,200000.0,200000.0,200000.0,196632.877,200000.0,200000.0
0.06570125,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,196604.605,200000.0,200000.0
0.0657325,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,196597.516,200000.0,200000.0
0.065795,200000.086,200000.06,200000.0,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,196583.325,200000.0,200000.0
0.06592,200000.086,200000.06,200000.05,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,196554.856,200000.0,200000.0
0.06617,200000.086,200000.06,200000.15,200000.0,200000.0,200000.0,200000.0,200000.078,200000.0,200000.066,200000.0,200000.0,200000.0,200000.0,200000.086,200000.0,200000.134,200000.0,200000.0,200000.0,200000.0,196497.584,200000.0,200000.0
